position,discord_id,username,insc_held,balance,mined,exact_guesses,max_reward,fav_glyph,lucky_glyph
1,1035543667496210502,"Puppy III",1,63141,33,2,40909,"ᛚ","ᛚ"
2,938780619826167818,.sam,1,50927,15,2,40909,"ᛟ","ᛟ"
3,947852799549509642,mohan0126,1,49836,20,2,40909,"ᛃ","ᚱ"
4,956527484692729888,tianzwilfr,1,48734,33,2,40909,"ᚠ","ᚺ"
5,939774371143229510,SyShubh,1,48400,14,2,40909,"ᛃ","ᛟ"
6,956112013317242921,omelijah,1,48068,31,2,40909,"ᚺ","ᚺ"
7,1186219333278515230,Sahil_777878,1,46430,34,1,40909,"ᛁ","ᛟ"
8,1140108775374721124,"SHREYANSH DWIVEDI",1,46008,18,1,40909,"ᚠ","ᛟ"
9,985718104384475136,sahil77,1,45211,20,1,40909,"ᚠ","ᛟ"
10,1073625032875593758,"lahiruu7 | Web3Go",1,41713,9,1,40909,"ᚦ","ᛟ"
11,1220367041802801152,BennyJ,1,41640,7,1,40909,"ᛟ","ᛟ"
12,969202448805789706,Tarun,1,38937,34,6,8035,"ᚾ","ᛒ"
13,1203379183821000746,cola,1,34564,34,3,12500,"ᚨ","ᛊ"
14,913331265384616018,Knower,1,34255,34,3,15517,"ᛚ","ᚺ"
15,871236713475899402,ali7214.,1,32583,34,4,8823,"ᛟ","ᛒ"
16,1197925829502566452,debascoolz,1,32248,34,3,15517,"ᛗ","ᛟ"
17,1113447846117654590,Neha1,1,31520,32,4,10227,"ᛊ","ᛃ"
18,763297891694936064,linelight.,1,31178,34,4,10227,"ᚱ","ᚱ"
19,1097709003993272430,susmita.samanta,1,31098,31,4,10227,"ᛊ","ᚠ"
20,722846091284054108,rohandas83,1,30956,15,3,15517,"ᛚ","ᛚ"
21,1083795508381880462,anondo,1,30856,31,3,12500,"ᛇ","ᚦ"
22,1078887238252908608,"rwtalpha 🕵",1,30341,27,4,8823,"ᚢ","ᛞ"
23,127075058760941568,EstouRIO,1,29914,34,4,8035,"ᛉ","ᛉ"
24,947138760863273000,"pratap singh",1,29662,33,4,8035,"ᛊ","ᛊ"
25,938780664340312104,wishbone,1,29599,16,2,15517,"ᛚ","ᛚ"
26,1109044805297786982,avi2_,1,29533,24,3,10227,"ᛗ","ᚱ"
27,807441038300938261,"shivamdd | Web3Go",1,28658,33,2,15517,"ᚢ","ᚢ"
28,967282073167622224,Kartik,1,28580,32,3,15517,"ᛞ","ᛚ"
29,1093111041761746995,glowdoo,1,28215,31,3,10227,"ᛊ","ᛉ"
30,744750734607646721,"sySUKHPREETA 🟢",1,27838,34,3,12500,"ᚠ","ᚠ"
31,978759274811523102,David7,1,27818,34,3,15517,"ᛈ","ᚺ"
32,972532277127053462,"Sakshi | ""| Full Force""",1,27776,30,3,15517,"ᛇ","ᛚ"
33,591633052397207552,Anondo,1,27713,34,2,12500,"ᛗ","ᛜ"
34,920983808143163392,"Vishal Patel ⛵",1,27410,24,2,15517,"ᚠ","ᛚ"
35,824673439003967550,shivamgg,1,27261,33,4,12500,"ᛇ","ᛇ"
36,1205027060523864074,"JackSparroww | Web3Go",1,27222,32,2,15517,"ᛉ","ᛚ"
37,824598886206930964,"ChainSmoker 🎭",1,27143,31,3,8823,"ᛈ","ᚾ"
38,1093060461081133056,"Jg685 | Depthos",1,27042,28,3,15517,"ᛖ","ᛖ"
39,867082642423676959,THOR,1,26402,34,2,15517,"ᛒ","ᛚ"
40,926096848769404988,gorakhnath75,1,26152,24,2,12500,"ᚾ","ᛜ"
